iteration,fitness,best_so_far,best_trial_number,best_param_0,best_param_1,best_param_2,best_param_3,best_param_4,best_param_5,best_param_6,best_param_7,best_param_8,best_param_9,best_param_10,best_param_11,best_param_12,best_param_13,best_param_14,best_param_15,best_param_16,best_param_17,best_param_18,best_param_19,best_param_20,best_param_21,best_param_22,best_param_23,best_selected_features_count
109,181.85878179235695,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
110,216.6204999240629,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
111,178.6538478495272,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
112,180.41050760421754,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
113,188.3678141600991,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
114,185.97046244489135,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
115,179.588779204886,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
116,182.40839838887786,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
117,178.3417446127159,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
118,187.07567063007005,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
119,180.55921761938978,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
